Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
5/1/1932, 16 , 14 , 18 , 20 , 14 , 22 , 22 , 22 , 20 , 29 
6/1/1932, 723 , 257 , 559 , 235 , 730 ," 1,284 "," 5,413 "," 2,230 ", 206 , 420 
7/1/1932, 4 , 3 , 5 , 4 , 8 , 9 , 15 , 14 , 31 , 69 
8/1/1932, 2 , 2 , 3 , 3 , 3 , 4 , 7 , 11 , 10 , 14 
9/1/1932, 83 ," 1,430 ", 131 , 146 , 153 ," 5,104 ", 181 , 164 , 437 ," 1,753 "
10/1/1932, 25 , 41 , 18 , 29 , 39 , 33 , 36 , 35 , 27 , 24 
11/1/1932, 98 , 224 ," 592,485 ", 89 , 167 , 211 , 145 , 635 , 174 , 146 
12/1/1932, 88 , 286 , 266 , 606 , 565 ," 1,108 "," 1,315 "," 3,657 "," 22,426 "," 159,600 "
1/1/1933," 1,721 ", 308 , 248 , 285 ," 1,059 "," 1,224 ", 572 , 657 , 371 , 846 
2/1/1933, 23 , 33 , 20 , 21 , 39 , 31 , 36 , 49 , 53 , 66 
3/1/1933, 272 , 92 , 83 , 230 , 59 , 61 , 122 , 175 , 83 , 76 
4/1/1933, 5 , 4 , 5 , 4 , 7 , 5 , 7 , 5 , 8 , 7 
5/1/1933, 3 , 3 , 4 , 4 , 6 , 6 , 4 , 5 , 9 , 5 
6/1/1933, 14 , 22 , 22 , 20 , 37 , 30 , 30 , 32 , 17 , 46 
7/1/1933, 118 , 69 , 128 , 84 , 90 , 123 , 62 , 243 , 58 , 106 
8/1/1933, 449 , 831 , 69 , 81 , 63 , 49 , 59 , 55 , 72 , 95 
9/1/1933, 18 , 29 , 29 , 33 , 42 , 102 , 40 , 46 , 47 , 37 
10/1/1933, 102 , 78 , 75 , 81 , 53 , 78 , 79 , 58 , 77 , 75 
11/1/1933," 104,381 "," 1,388 ", 179 , 104 , 201 , 265 , 121 , 93 , 474 , 274 
12/1/1933," 3,361 "," 5,413 "," 1,183 "," 1,419 "," 2,131 "," 7,146 ", 746 , 746 ," 1,484 "," 1,215 "
1/1/1934, 8 , 9 , 12 , 14 , 13 , 16 , 19 , 17 , 11 , 18 
